year,area,age_group,sex,population
2022, Vega Media del Segura,0-4,0,5897
2022, Vega Media del Segura,5-9,0,7443
2022, Vega Media del Segura,10-14,0,8449
2022, Vega Media del Segura,15-19,0,8516
2022, Vega Media del Segura,20-24,0,7805
2022, Vega Media del Segura,25-29,0,7838
2022, Vega Media del Segura,30-34,0,8388
2022, Vega Media del Segura,35-39,0,9018
2022, Vega Media del Segura,40-44,0,11628
2022, Vega Media del Segura,45-49,0,12209
2022, Vega Media del Segura,50-54,0,10853
2022, Vega Media del Segura,55-59,0,9668
2022, Vega Media del Segura,60-64,0,7531
2022, Vega Media del Segura,65-69,0,5541
2022, Vega Media del Segura,70-74,0,4457
2022, Vega Media del Segura,75-79,0,3462
2022, Vega Media del Segura,80-84,0,2257
2022, Vega Media del Segura,85-89,0,1539
2022, Vega Media del Segura,90-94,0,619
2022, Vega Media del Segura,95+,0,129
2022, Vega Media del Segura,0-4,1,5492
2022, Vega Media del Segura,5-9,1,6965
2022, Vega Media del Segura,10-14,1,8013
2022, Vega Media del Segura,15-19,1,7791
2022, Vega Media del Segura,20-24,1,7143
2022, Vega Media del Segura,25-29,1,7471
2022, Vega Media del Segura,30-34,1,8396
2022, Vega Media del Segura,35-39,1,9607
2022, Vega Media del Segura,40-44,1,11138
2022, Vega Media del Segura,45-49,1,11549
2022, Vega Media del Segura,50-54,1,10706
2022, Vega Media del Segura,55-59,1,9626
2022, Vega Media del Segura,60-64,1,7921
2022, Vega Media del Segura,65-69,1,6198
2022, Vega Media del Segura,70-74,1,5335
2022, Vega Media del Segura,75-79,1,4397
2022, Vega Media del Segura,80-84,1,3284
2022, Vega Media del Segura,85-89,1,2481
2022, Vega Media del Segura,90-94,1,1249
2022, Vega Media del Segura,95+,1,345
2022,: Murcia Este,0-4,0,4504
2022,: Murcia Este,5-9,0,5697
2022,: Murcia Este,10-14,0,6393
2022,: Murcia Este,15-19,0,6248
2022,: Murcia Este,20-24,0,6224
2022,: Murcia Este,25-29,0,6298
2022,: Murcia Este,30-34,0,6732
2022,: Murcia Este,35-39,0,7098
2022,: Murcia Este,40-44,0,9213
2022,: Murcia Este,45-49,0,9564
2022,: Murcia Este,50-54,0,8477
2022,: Murcia Este,55-59,0,7590
2022,: Murcia Este,60-64,0,5836
2022,: Murcia Este,65-69,0,4236
2022,: Murcia Este,70-74,0,3331
2022,: Murcia Este,75-79,0,2451
2022,: Murcia Este,80-84,0,1735
2022,: Murcia Este,85-89,0,1115
2022,: Murcia Este,90-94,0,495
2022,: Murcia Este,95+,0,83
2022,: Murcia Este,0-4,1,4218
2022,: Murcia Este,5-9,1,5279
2022,: Murcia Este,10-14,1,6045
2022,: Murcia Este,15-19,1,5920
2022,: Murcia Este,20-24,1,5609
2022,: Murcia Este,25-29,1,5903
2022,: Murcia Este,30-34,1,6685
2022,: Murcia Este,35-39,1,7111
2022,: Murcia Este,40-44,1,8746
2022,: Murcia Este,45-49,1,8997
2022,: Murcia Este,50-54,1,8236
2022,: Murcia Este,55-59,1,7559
2022,: Murcia Este,60-64,1,6249
2022,: Murcia Este,65-69,1,4999
2022,: Murcia Este,70-74,1,4028
2022,: Murcia Este,75-79,1,3339
2022,: Murcia Este,80-84,1,2595
2022,: Murcia Este,85-89,1,1973
2022,: Murcia Este,90-94,1,945
2022,: Murcia Este,95+,1,211
2022,I: Mar Menor,0-4,0,2812
2022,I: Mar Menor,5-9,0,3812
2022,I: Mar Menor,10-14,0,4238
2022,I: Mar Menor,15-19,0,3946
2022,I: Mar Menor,20-24,0,3671
2022,I: Mar Menor,25-29,0,3364
2022,I: Mar Menor,30-34,0,3542
2022,I: Mar Menor,35-39,0,4087
2022,I: Mar Menor,40-44,0,5482
2022,I: Mar Menor,45-49,0,5588
2022,I: Mar Menor,50-54,0,4902
2022,I: Mar Menor,55-59,0,4206
2022,I: Mar Menor,60-64,0,3206
2022,I: Mar Menor,65-69,0,2314
2022,I: Mar Menor,70-74,0,1876
2022,I: Mar Menor,75-79,0,1493
2022,I: Mar Menor,80-84,0,907
2022,I: Mar Menor,85-89,0,567
2022,I: Mar Menor,90-94,0,209
2022,I: Mar Menor,95+,0,39
2022,I: Mar Menor,0-4,1,2678
2022,I: Mar Menor,5-9,1,3467
2022,I: Mar Menor,10-14,1,3851
2022,I: Mar Menor,15-19,1,3533
2022,I: Mar Menor,20-24,1,3206
2022,I: Mar Menor,25-29,1,3226
2022,I: Mar Menor,30-34,1,3717
2022,I: Mar Menor,35-39,1,4267
2022,I: Mar Menor,40-44,1,4725
2022,I: Mar Menor,45-49,1,4666
2022,I: Mar Menor,50-54,1,4290
2022,I: Mar Menor,55-59,1,3688
2022,I: Mar Menor,60-64,1,2901
2022,I: Mar Menor,65-69,1,2264
2022,I: Mar Menor,70-74,1,1974
2022,I: Mar Menor,75-79,1,1687
2022,I: Mar Menor,80-84,1,1252
2022,I: Mar Menor,85-89,1,869
2022,I: Mar Menor,90-94,1,409
2022,I: Mar Menor,95+,1,99
2022, Vega Alta del Segura,0-4,0,1118
2022, Vega Alta del Segura,5-9,0,1425
2022, Vega Alta del Segura,10-14,0,1560
2022, Vega Alta del Segura,15-19,0,1567
2022, Vega Alta del Segura,20-24,0,1649
2022, Vega Alta del Segura,25-29,0,1638
2022, Vega Alta del Segura,30-34,0,1701
2022, Vega Alta del Segura,35-39,0,1800
2022, Vega Alta del Segura,40-44,0,2386
2022, Vega Alta del Segura,45-49,0,2488
2022, Vega Alta del Segura,50-54,0,2282
2022, Vega Alta del Segura,55-59,0,2003
2022, Vega Alta del Segura,60-64,0,1635
2022, Vega Alta del Segura,65-69,0,1146
2022, Vega Alta del Segura,70-74,0,937
2022, Vega Alta del Segura,75-79,0,802
2022, Vega Alta del Segura,80-84,0,585
2022, Vega Alta del Segura,85-89,0,395
2022, Vega Alta del Segura,90-94,0,169
2022, Vega Alta del Segura,95+,0,36
2022, Vega Alta del Segura,0-4,1,1098
2022, Vega Alta del Segura,5-9,1,1441
2022, Vega Alta del Segura,10-14,1,1514
2022, Vega Alta del Segura,15-19,1,1454
2022, Vega Alta del Segura,20-24,1,1475
2022, Vega Alta del Segura,25-29,1,1555
2022, Vega Alta del Segura,30-34,1,1673
2022, Vega Alta del Segura,35-39,1,1719
2022, Vega Alta del Segura,40-44,1,2078
2022, Vega Alta del Segura,45-49,1,2069
2022, Vega Alta del Segura,50-54,1,2097
2022, Vega Alta del Segura,55-59,1,1949
2022, Vega Alta del Segura,60-64,1,1656
2022, Vega Alta del Segura,65-69,1,1195
2022, Vega Alta del Segura,70-74,1,1133
2022, Vega Alta del Segura,75-79,1,1023
2022, Vega Alta del Segura,80-84,1,876
2022, Vega Alta del Segura,85-89,1,585
2022, Vega Alta del Segura,90-94,1,307
2022, Vega Alta del Segura,95+,1,81
2023,Murcia Oeste,0-4,0,6188
2023,Murcia Oeste,5-9,0,7488
2023,Murcia Oeste,10-14,0,8119
2023,Murcia Oeste,15-19,0,8443
2023,Murcia Oeste,20-24,0,8035
2023,Murcia Oeste,25-29,0,7813
2023,Murcia Oeste,30-34,0,8576
2023,Murcia Oeste,35-39,0,9108
2023,Murcia Oeste,40-44,0,11344
2023,Murcia Oeste,45-49,0,12415
2023,Murcia Oeste,50-54,0,11003
2023,Murcia Oeste,55-59,0,9875
2023,Murcia Oeste,60-64,0,8065
2023,Murcia Oeste,65-69,0,6096
2023,Murcia Oeste,70-74,0,4646
2023,Murcia Oeste,75-79,0,3764
2023,Murcia Oeste,80-84,0,2299
2023,Murcia Oeste,85-89,0,1527
2023,Murcia Oeste,90-94,0,642
2023,Murcia Oeste,95+,0,102
2023,Murcia Oeste,0-4,1,5735
2023,Murcia Oeste,5-9,1,7090
2023,Murcia Oeste,10-14,1,7619
2023,Murcia Oeste,15-19,1,7996
2023,Murcia Oeste,20-24,1,7329
2023,Murcia Oeste,25-29,1,7509
2023,Murcia Oeste,30-34,1,8747
2023,Murcia Oeste,35-39,1,9317
2023,Murcia Oeste,40-44,1,10997
2023,Murcia Oeste,45-49,1,11641
2023,Murcia Oeste,50-54,1,10635
2023,Murcia Oeste,55-59,1,9772
2023,Murcia Oeste,60-64,1,8344
2023,Murcia Oeste,65-69,1,6717
2023,Murcia Oeste,70-74,1,5614
2023,Murcia Oeste,75-79,1,4808
2023,Murcia Oeste,80-84,1,3351
2023,Murcia Oeste,85-89,1,2579
2023,Murcia Oeste,90-94,1,1274
2023,Murcia Oeste,95+,1,312
2023, Cartagena,0-4,0,6079
2023, Cartagena,5-9,0,7877
2023, Cartagena,10-14,0,8970
2023, Cartagena,15-19,0,9220
2023, Cartagena,20-24,0,8509
2023, Cartagena,25-29,0,8051
2023, Cartagena,30-34,0,8405
2023, Cartagena,35-39,0,9064
2023, Cartagena,40-44,0,11172
2023, Cartagena,45-49,0,12578
2023, Cartagena,50-54,0,11433
2023, Cartagena,55-59,0,10591
2023, Cartagena,60-64,0,8546
2023, Cartagena,65-69,0,7034
2023, Cartagena,70-74,0,5583
2023, Cartagena,75-79,0,4486
2023, Cartagena,80-84,0,2709
2023, Cartagena,85-89,0,1765
2023, Cartagena,90-94,0,649
2023, Cartagena,95+,0,111
2023, Cartagena,0-4,1,5753
2023, Cartagena,5-9,1,7264
2023, Cartagena,10-14,1,8323
2023, Cartagena,15-19,1,8489
2023, Cartagena,20-24,1,7959
2023, Cartagena,25-29,1,7321
2023, Cartagena,30-34,1,8520
2023, Cartagena,35-39,1,9342
2023, Cartagena,40-44,1,10965
2023, Cartagena,45-49,1,11576
2023, Cartagena,50-54,1,10781
2023, Cartagena,55-59,1,10252
2023, Cartagena,60-64,1,8790
2023, Cartagena,65-69,1,7650
2023, Cartagena,70-74,1,6157
2023, Cartagena,75-79,1,5715
2023, Cartagena,80-84,1,3758
2023, Cartagena,85-89,1,2932
2023, Cartagena,90-94,1,1409
2023, Cartagena,95+,1,354
2023,: Lorca,0-4,0,4163
2023,: Lorca,5-9,0,5430
2023,: Lorca,10-14,0,5737
2023,: Lorca,15-19,0,5992
2023,: Lorca,20-24,0,6309
2023,: Lorca,25-29,0,6326
2023,: Lorca,30-34,0,6242
2023,: Lorca,35-39,0,6770
2023,: Lorca,40-44,0,8915
2023,: Lorca,45-49,0,9559
2023,: Lorca,50-54,0,7924
2023,: Lorca,55-59,0,6668
2023,: Lorca,60-64,0,5283
2023,: Lorca,65-69,0,4037
2023,: Lorca,70-74,0,3338
2023,: Lorca,75-79,0,2657
2023,: Lorca,80-84,0,1607
2023,: Lorca,85-89,0,1042
2023,: Lorca,90-94,0,419
2023,: Lorca,95+,0,93
2023,: Lorca,0-4,1,3945
2023,: Lorca,5-9,1,4911
2023,: Lorca,10-14,1,5456
2023,: Lorca,15-19,1,5396
2023,: Lorca,20-24,1,5541
2023,: Lorca,25-29,1,5443
2023,: Lorca,30-34,1,5955
2023,: Lorca,35-39,1,6420
2023,: Lorca,40-44,1,7605
2023,: Lorca,45-49,1,7802
2023,: Lorca,50-54,1,6993
2023,: Lorca,55-59,1,6242
2023,: Lorca,60-64,1,5195
2023,: Lorca,65-69,1,4181
2023,: Lorca,70-74,1,3603
2023,: Lorca,75-79,1,3256
2023,: Lorca,80-84,1,2197
2023,: Lorca,85-89,1,1748
2023,: Lorca,90-94,1,833
2023,: Lorca,95+,1,234
2023, Noroeste,0-4,0,1216
2023, Noroeste,5-9,0,1628
2023, Noroeste,10-14,0,1838
2023, Noroeste,15-19,0,2039
2023, Noroeste,20-24,0,1999
2023, Noroeste,25-29,0,2115
2023, Noroeste,30-34,0,2106
2023, Noroeste,35-39,0,2129
2023, Noroeste,40-44,0,2573
2023, Noroeste,45-49,0,2847
2023, Noroeste,50-54,0,2850
2023, Noroeste,55-59,0,2768
2023, Noroeste,60-64,0,2503
2023, Noroeste,65-69,0,1983
2023, Noroeste,70-74,0,1430
2023, Noroeste,75-79,0,1228
2023, Noroeste,80-84,0,879
2023, Noroeste,85-89,0,586
2023, Noroeste,90-94,0,264
2023, Noroeste,95+,0,77
2023, Noroeste,0-4,1,1143
2023, Noroeste,5-9,1,1509
2023, Noroeste,10-14,1,1636
2023, Noroeste,15-19,1,1897
2023, Noroeste,20-24,1,1902
2023, Noroeste,25-29,1,1953
2023, Noroeste,30-34,1,1966
2023, Noroeste,35-39,1,2052
2023, Noroeste,40-44,1,2391
2023, Noroeste,45-49,1,2694
2023, Noroeste,50-54,1,2714
2023, Noroeste,55-59,1,2773
2023, Noroeste,60-64,1,2418
2023, Noroeste,65-69,1,1978
2023, Noroeste,70-74,1,1630
2023, Noroeste,75-79,1,1526
2023, Noroeste,80-84,1,1134
2023, Noroeste,85-89,1,879
2023, Noroeste,90-94,1,448
2023, Noroeste,95+,1,119
2023,Altiplano,0-4,0,1314
2023,Altiplano,5-9,0,1682
2023,Altiplano,10-14,0,1921
2023,Altiplano,15-19,0,1964
2023,Altiplano,20-24,0,2120
2023,Altiplano,25-29,0,2109
2023,Altiplano,30-34,0,2173
2023,Altiplano,35-39,0,2163
2023,Altiplano,40-44,0,2794
2023,Altiplano,45-49,0,2970
2023,Altiplano,50-54,0,2587
2023,Altiplano,55-59,0,2311
2023,Altiplano,60-64,0,1969
2023,Altiplano,65-69,0,1506
2023,Altiplano,70-74,0,1196
2023,Altiplano,75-79,0,884
2023,Altiplano,80-84,0,573
2023,Altiplano,85-89,0,323
2023,Altiplano,90-94,0,166
2023,Altiplano,95+,0,29
2023,Altiplano,0-4,1,1256
2023,Altiplano,5-9,1,1619
2023,Altiplano,10-14,1,1773
2023,Altiplano,15-19,1,1911
2023,Altiplano,20-24,1,1932
2023,Altiplano,25-29,1,1742
2023,Altiplano,30-34,1,1745
2023,Altiplano,35-39,1,1959
2023,Altiplano,40-44,1,2418
2023,Altiplano,45-49,1,2591
2023,Altiplano,50-54,1,2252
2023,Altiplano,55-59,1,2164
2023,Altiplano,60-64,1,1957
2023,Altiplano,65-69,1,1563
2023,Altiplano,70-74,1,1263
2023,Altiplano,75-79,1,1041
2023,Altiplano,80-84,1,730
2023,Altiplano,85-89,1,577
2023,Altiplano,90-94,1,315
2023,Altiplano,95+,1,77
2023, Vega Media del Segura,0-4,0,5686
2023, Vega Media del Segura,5-9,0,7297
2023, Vega Media del Segura,10-14,0,8332
2023, Vega Media del Segura,15-19,0,8831
2023, Vega Media del Segura,20-24,0,7995
2023, Vega Media del Segura,25-29,0,7944
2023, Vega Media del Segura,30-34,0,8375
2023, Vega Media del Segura,35-39,0,8877
2023, Vega Media del Segura,40-44,0,11180
2023, Vega Media del Segura,45-49,0,12459
2023, Vega Media del Segura,50-54,0,11086
2023, Vega Media del Segura,55-59,0,10082
2023, Vega Media del Segura,60-64,0,7810
2023, Vega Media del Segura,65-69,0,5907
2023, Vega Media del Segura,70-74,0,4539
2023, Vega Media del Segura,75-79,0,3677
2023, Vega Media del Segura,80-84,0,2256
2023, Vega Media del Segura,85-89,0,1565
2023, Vega Media del Segura,90-94,0,660
2023, Vega Media del Segura,95+,0,125
2023, Vega Media del Segura,0-4,1,5292
2023, Vega Media del Segura,5-9,1,6829
2023, Vega Media del Segura,10-14,1,7818
2023, Vega Media del Segura,15-19,1,8109
2023, Vega Media del Segura,20-24,1,7480
2023, Vega Media del Segura,25-29,1,7487
2023, Vega Media del Segura,30-34,1,8387
2023, Vega Media del Segura,35-39,1,9396
2023, Vega Media del Segura,40-44,1,11064
2023, Vega Media del Segura,45-49,1,11758
2023, Vega Media del Segura,50-54,1,10883
2023, Vega Media del Segura,55-59,1,9989
2023, Vega Media del Segura,60-64,1,8210
2023, Vega Media del Segura,65-69,1,6559
2023, Vega Media del Segura,70-74,1,5382
2023, Vega Media del Segura,75-79,1,4714
2023, Vega Media del Segura,80-84,1,3267
2023, Vega Media del Segura,85-89,1,2519
2023, Vega Media del Segura,90-94,1,1309
2023, Vega Media del Segura,95+,1,358
2023,: Murcia Este,0-4,0,4315
2023,: Murcia Este,5-9,0,5580
2023,: Murcia Este,10-14,0,6308
2023,: Murcia Este,15-19,0,6441
2023,: Murcia Este,20-24,0,6301
2023,: Murcia Este,25-29,0,6356
2023,: Murcia Este,30-34,0,6788
2023,: Murcia Este,35-39,0,7003
2023,: Murcia Este,40-44,0,8807
2023,: Murcia Este,45-49,0,9641
2023,: Murcia Este,50-54,0,8719
2023,: Murcia Este,55-59,0,7791
2023,: Murcia Este,60-64,0,6102
2023,: Murcia Este,65-69,0,4461
2023,: Murcia Este,70-74,0,3445
2023,: Murcia Este,75-79,0,2547
2023,: Murcia Este,80-84,0,1708
2023,: Murcia Este,85-89,0,1186
2023,: Murcia Este,90-94,0,487
2023,: Murcia Este,95+,0,102
2023,: Murcia Este,0-4,1,4064
2023,: Murcia Este,5-9,1,5201
2023,: Murcia Este,10-14,1,5953
2023,: Murcia Este,15-19,1,6047
2023,: Murcia Este,20-24,1,5862
2023,: Murcia Este,25-29,1,5880
2023,: Murcia Este,30-34,1,6696
2023,: Murcia Este,35-39,1,7019
2023,: Murcia Este,40-44,1,8451
2023,: Murcia Este,45-49,1,9248
2023,: Murcia Este,50-54,1,8261
2023,: Murcia Este,55-59,1,7959
2023,: Murcia Este,60-64,1,6366
2023,: Murcia Este,65-69,1,5244
2023,: Murcia Este,70-74,1,4163
2023,: Murcia Este,75-79,1,3456
2023,: Murcia Este,80-84,1,2543
2023,: Murcia Este,85-89,1,2032
2023,: Murcia Este,90-94,1,973
2023,: Murcia Este,95+,1,242
2023,I: Mar Menor,0-4,0,2750
2023,I: Mar Menor,5-9,0,3811
2023,I: Mar Menor,10-14,0,4293
2023,I: Mar Menor,15-19,0,4156
2023,I: Mar Menor,20-24,0,3804
2023,I: Mar Menor,25-29,0,3521
2023,I: Mar Menor,30-34,0,3585
2023,I: Mar Menor,35-39,0,4001
2023,I: Mar Menor,40-44,0,5282
2023,I: Mar Menor,45-49,0,5845
2023,I: Mar Menor,50-54,0,5039
2023,I: Mar Menor,55-59,0,4420
2023,I: Mar Menor,60-64,0,3447
2023,I: Mar Menor,65-69,0,2574
2023,I: Mar Menor,70-74,0,1935
2023,I: Mar Menor,75-79,0,1533
2023,I: Mar Menor,80-84,0,949
2023,I: Mar Menor,85-89,0,573
2023,I: Mar Menor,90-94,0,229
2023,I: Mar Menor,95+,0,39
2023,I: Mar Menor,0-4,1,2613
2023,I: Mar Menor,5-9,1,3512
2023,I: Mar Menor,10-14,1,3821
2023,I: Mar Menor,15-19,1,3789
2023,I: Mar Menor,20-24,1,3363
2023,I: Mar Menor,25-29,1,3307
2023,I: Mar Menor,30-34,1,3696
2023,I: Mar Menor,35-39,1,4239
2023,I: Mar Menor,40-44,1,4841
2023,I: Mar Menor,45-49,1,4847
2023,I: Mar Menor,50-54,1,4433
2023,I: Mar Menor,55-59,1,3910
2023,I: Mar Menor,60-64,1,3166
2023,I: Mar Menor,65-69,1,2457
2023,I: Mar Menor,70-74,1,1979
2023,I: Mar Menor,75-79,1,1817
2023,I: Mar Menor,80-84,1,1250
2023,I: Mar Menor,85-89,1,887
2023,I: Mar Menor,90-94,1,460
2023,I: Mar Menor,95+,1,102
2023, Vega Alta del Segura,0-4,0,1110
2023, Vega Alta del Segura,5-9,0,1424
2023, Vega Alta del Segura,10-14,0,1554
2023, Vega Alta del Segura,15-19,0,1596
2023, Vega Alta del Segura,20-24,0,1657
2023, Vega Alta del Segura,25-29,0,1634
2023, Vega Alta del Segura,30-34,0,1681
2023, Vega Alta del Segura,35-39,0,1736
2023, Vega Alta del Segura,40-44,0,2249
2023, Vega Alta del Segura,45-49,0,2540
2023, Vega Alta del Segura,50-54,0,2293
2023, Vega Alta del Segura,55-59,0,2077
2023, Vega Alta del Segura,60-64,0,1654
2023, Vega Alta del Segura,65-69,0,1243
2023, Vega Alta del Segura,70-74,0,922
2023, Vega Alta del Segura,75-79,0,807
2023, Vega Alta del Segura,80-84,0,600
2023, Vega Alta del Segura,85-89,0,398
2023, Vega Alta del Segura,90-94,0,174
2023, Vega Alta del Segura,95+,0,40
2023, Vega Alta del Segura,0-4,1,1088
2023, Vega Alta del Segura,5-9,1,1458
2023, Vega Alta del Segura,10-14,1,1470
2023, Vega Alta del Segura,15-19,1,1517
2023, Vega Alta del Segura,20-24,1,1493
2023, Vega Alta del Segura,25-29,1,1534
2023, Vega Alta del Segura,30-34,1,1648
2023, Vega Alta del Segura,35-39,1,1722
2023, Vega Alta del Segura,40-44,1,2002
2023, Vega Alta del Segura,45-49,1,2106
2023, Vega Alta del Segura,50-54,1,2114
2023, Vega Alta del Segura,55-59,1,1958
2023, Vega Alta del Segura,60-64,1,1734
2023, Vega Alta del Segura,65-69,1,1261
2023, Vega Alta del Segura,70-74,1,1117
2023, Vega Alta del Segura,75-79,1,1035
2023, Vega Alta del Segura,80-84,1,890
2023, Vega Alta del Segura,85-89,1,589
2023, Vega Alta del Segura,90-94,1,291
2023, Vega Alta del Segura,95+,1,95
